"序号","试题内容","正确选项","A","B","C","D",""
"1","《铁路旅客运输管理规则》规定：旅客计划运输组织工作要（  ），做好长短途旅客列车合理分工，充分发挥旅客运输能力的最佳效能，均衡的运送旅客。","A","立足全局","顾全大局","最佳效能","最佳能力",""
"2","《铁路旅客运输管理规则》规定：旅客运输计划按执行期限的不同，可分为（  ）。","ABC","长远计划","年度计划","日常计划","短期计划",""
"3","《铁路旅客运输管理规则》规定：旅客运输计划主要内容包括（  ）。","ABCD","旅客运输量（客运量）","旅客发送量","旅客周转量","旅客平均行程",""
"4","《铁路旅客运输管理规则》规定：列车硬座超成定员为实际定员与实际定员乘以规定超员率之和。","A","对","错","","",""
"5","《铁路旅客运输管理规则》规定：硬卧车代替硬座车时，硬卧每一下铺按（  ）人计算。","C","2","3","4","5",""
"6","《铁路旅客运输管理规则》规定：（  ）及以上或客流量较大的车站，均须编制旅客输送日计划，并报局客调批准执行。","C","一等","二等","三等","四等",""
"7","《铁路旅客运输管理规则》规定：日计划编制一律规定为自零点至二十四点以始发站的始发时间为标准。","B","对","错","","",""
"8","《铁路旅客运输管理规则》规定：车站应根据旅客运输组织原则和票额分配计划组织售票，做到减少（  ），正确发售车票。","C","错售车票","误售车票","旅客排队","排队现象",""
"9","《铁路旅客运输管理规则》规定：列车进站前和开车铃响后，站台服务人员应组织站台上的人退到（  ）以内，确保人身安全。","B","站台","安全线","站台标线","候车室",""
"10","《铁路旅客运输管理规则》规定：旅客列车因故临时必须变更停靠站台时，（  ）人员应提早通知客运值班人员。","A","运转值班","助理值班员","客运值班员","广播员",""
"11","《铁路旅客运输管理规则》规定：旅客列车应固定停靠站台。","A","对","错","","",""
"12","《铁路旅客运输管理规则》规定：车站对急救药品、军运品、抢险救灾物资和零星急需支农物资应优先承运。","B","对","错","","",""
"13","《铁路旅客运输管理规则》规定：铁路客运职工的职业道德中：爱护行包：做到文明装卸，（  ）。","C","监装监卸","轻拿轻放","认真负责","轻装轻卸",""
"14","《铁路旅客运输管理规则》规定：铁路客运职工的职业道德中：礼貌待客：做到（  ），举止文明。","C","细心周到","行为文明","行为端庄","周到服务",""
"15","《铁路旅客运输管理规则》规定：铁路客运职工的职业道德中：优质服务：做到主动热情，（  ）。","B","周到服务","细心周到","耐心解答","行为文明",""
"16","《铁路旅客运输管理规则》规定：铁路客运职工的职业道德中：顾全大局：做到团结协作，密切合作。","B","对","错","","",""
"17","《铁路旅客运输管理规则》规定：铁路客运职工的职业道德中：廉洁奉公：：做到公道正派，不徇私情。","A","对","错","","",""
"18","《铁路旅客运输管理规则》规定：铁路客运职工的职业道德中：勤恳敬业：：做到工作勤奋，业务熟悉。","B","对","错","","",""
"19","《铁路旅客运输管理规则》规定：铁路客运职工的职业道德中：遵章守纪：：做到服从命令，执行标准。","A","对","错","","",""
"20","为维护铁路旅客运输正常秩序，保护铁路旅客运输合同各方当事人的合法权益，依据（ ）等法律、行政法规和《铁路旅客运输规程》《铁路旅客车票实名制管理办法》等有关规定，制定《铁路旅客运输规程》。","ABC","《中华人民共和国民法典》","《中华人民共和国铁路法》","《铁路安全管理条例》","《安全生产法》",""
"21","《国铁客规》规定：旅客是持有铁路有效乘车凭证的人。","A","对","错","","",""
"22","《国铁客规》所指的儿童是指符合购买铁路儿童优惠票条件和免费乘车条件的（ ）。","C","人","成年人","未成年人","旅客",""
"23","《国铁客规》规定：车票实名购买和实名查验统称为车票实名制管理。","A","对","错","","",""
"24","《国铁客规》规定：车票实名购买是指购票人凭乘车人的有效身份证件购买车票，铁路运输企业凭乘车人的有效身份证件销售车票，并记录旅客身份信息和购票信息的行为。","A","对","错","","",""
"25","《国铁客规》规定：车票实名查验是指铁路运输企业对实行车票实名购买的车票记载的身份信息与乘车人及其有效身份证件进行一致性核对，并记录旅客乘车信息的行为。","A","对","错","","",""
"26","《国铁客规》规定 联程车票：旅客分段购买的，出发地至目的地间可联程接续的多段车票；前段车票到站与后段车票发站应为同一或同城铁路客运营业站（以下简称车站），且前段车票到站时间与后段车票开车时间间隔（）。","C","不超过8小时","不超过12小时","不超过24小时","不超过48小时",""
"27","《国铁客规》规定 报销凭证：铁路运输企业在提供售票、改签、退票等服务后开具的收付款凭证。报销凭证（）。","AB","仅可开具一次","不能重复领取","可开具多次","能重复领取",""
"28","《国铁客规》规定：铁路车票销售代理人是与铁路运输企业签有代售合同，办理铁路车票销售经营业务的独立法人组织。","A","对","错","","",""
"29","《国铁客规》规定：席位指车票载明的车厢，以及座位或铺位位置。","A","对","错","","",""
"30","《国铁客规》规定：席别指旅客列车席位的类别，包括硬座、软座、二等座、一等座、特等座、商务座、硬卧、软卧、高级软卧、二等卧、一等卧等。","A","对","错","","",""
"31","《国铁客规》规定：改签指旅客变更乘车日期、时间、车次、席位、席别和到站时需办理的签证手续。","A","对","错","","",""
"32","《国铁客规》规定：客运记录是在旅客或行李运输过程中因特殊情况，铁路运输企业与旅客之间需记载某种事项或车站与列车之间办理业务交接的（ ）。","AB","纸质凭证","电子凭证","约定","口头约定",""
"33","《国铁客规》时间指以北京时间为准，从零时起计算，实行24小时制。","A","对","错","","",""
"34","《国铁客规》规定：以上、以下、以前、以后、以内、以外均含本数，（ ）均不含本数。","ABC","超过","未满","不足","包含",""
"35","《国铁客规》规定：铁路旅客运输合同是明确铁路运输企业与旅客之间权利义务关系的协议。","A","对","错","","",""
"36","《国铁客规》规定：铁路旅客运输合同从（ ），为合同履行完毕。","AB","售出车票时起成立","至按车票规定运输结束旅客出站时止","检票起","到站出站时止计算",""
"37","《国铁客规》规定：旅客运输的运送期间自（ ）。旅客自行中途下车，出站时铁路旅客运输合同履行终止。","CD","售出车票时起成立","至按车票规定运输结束旅客出站时止","检票起","到站出站时止计算",""
"38","《国铁客规》规定：车票是铁路旅客运输合同的凭证，可以采用（ ）。","AB","纸质形式","电子数据形式","车票","电子版",""
"39","《国铁客规》规定：车票是以电子数据形式体现的铁路旅客运输合同的凭证，并实施车票实名制管理。","A","对","错","","",""
"40","《国铁客规》规定：车票（特殊票种除外）主要信息应包含发站、到站、车次、车厢号、（ ）等主要信息。铁路运输企业与旅客另有约定的，按照其约定。","ABCD","席别","席位号","票价","开车时间",""
"41","《国铁客规》规定：车票（特殊票种除外）主要信息应包含：（ ）。","ABCD","发站和到站站名","车厢号、席位号、席别","票价","车次",""
"42","《国铁客规》规定：车票（特殊票种除外）主要信息应包含：（ ）。","ABCD","乘车日期和开车时间；","有效期；","旅客身份证件信息","车次",""
"43","《国铁客规》规定 ：车票票价为旅客购票时的执行票价。铁路运输企业调整票价时，已售出的车票（ ）。","AB","不再补收票价差额","不再退还票价差额","补收票价差额","票价差额不退",""
"44","《国铁客规》规定 ：车票票价为旅客购票时的执行票价。","A","对","错","","",""
"45","《国铁客规》规定：除有效期有其他规定的车票外，车票（ ）有效。旅客自行中途上车、下车的，未乘区间的票款不予退还。","A","当日当次","当日","当次","两日内",""
"46","《国铁客规》规定：旅客自行中途上车、下车的，未乘区间的票款（ ）。","A","不予退还","全部退还","无效","不予办理",""
"47","《国铁客规》规定：旅客应按约定支付运输费用，购票后应核对票、款，妥善保管车票信息及购票时所使用的有效身份证件。","A","对","错","","",""
"48","《国铁客规》规定：车票应通过铁路运输企业提供的（ ）或铁路车票销售代理人的售票处购买。","ABCD","车站售票窗口","自动售票机","中国铁路12306网站（含铁路12306移动端）","订票电话",""
"49","《国铁客规》规定：铁路运输企业开办（ ）等多种业务时，具体售票、改签、退票、检票和行李托运等业务规则由开办业务的铁路运输企业另行规定。","ABC","定期票","计次票","乘车卡","通票",""
"50","《国铁客规》规定：（ ）可以通过车站售票窗口、铁路车票销售代理人的售票处购票或列车上购票、补票。","ABCD","中华人民共和国居民身份证","中华人民共和国临时居民身份证","居民户口簿","中华人民共和国护照",""
"51","《国铁客规》规定：（ ）可以通过车站售票窗口、铁路车票销售代理人的售票处购票或列车上购票、补票。","ABCD","中华人民共和国出入境通行证","中华人民共和国旅行证","新生儿出生医学证明","军官证",""
"52","《国铁客规》规定：（ ）可以通过车站售票窗口、铁路车票销售代理人的售票处购票或列车上购票、补票。","ABCD","警官证","文职干部证","义务兵证","士官证",""
"53","《国铁客规》规定：（ ）可以通过车站售票窗口、铁路车票销售代理人的售票处购票或列车上购票、补票。","ABCD","文职人员证","海员证","公安机关出具的临时乘车身份证明","中华人民共和国港澳居民居住证，",""
"54","《国铁客规》规定 ：（ ）可以通过车站售票窗口、铁路车票销售代理人的售票处购票或列车上购票、补票。","ABCD","军士证","警士证","文职人员证","海员证",""
"55","《国铁客规》规定：（ ）可以通过车站售票窗口、铁路车票销售代理人的售票处购票或列车上购票、补票。","ABCD","中华人民共和国台湾居民居住证","港澳居民来往内地通行证","往来港澳通行证","大陆居民往来台湾通行证，",""
"56","《国铁客规》规定：（ ）可以通过车站售票窗口、铁路车票销售代理人的售票处购票或列车上购票、补票。","ABCD","台湾居民来往大陆通行证","外国人永久居留身份证","外国人护照","外国人出入境证，",""
"57","《国铁客规》规定：（ ）可以通过车站售票窗口、铁路车票销售代理人的售票处购票或列车上购票、补票。","ABCD","公安机关出具的外国人签证证件受理回执","护照报失证明","各国驻华使领馆签发的临时性国际旅行证件（应当附具公安机关签发的有效签证）","各国驻华使领馆签发的临时性国际旅行证件（应当附具公安机关签发的停留证件）",""
"58","《国铁客规》规定：（ ）可以通过12306网站、订票电话购票。","ABCD","中华人民共和国居民身份证（含中华人民共和国临时居民身份证）","中华人民共和国护照","中华人民共和国港澳居民居住证，","中华人民共和国台湾居民居住证",""
"59","《国铁客规》规定：（ ）可以通过12306网站、订票电话购票。","ABCD","港澳居民来往内地通行证","台湾居民来往大陆通行证","外国人永久居留身份证","外国人护照",""
"60","《国铁客规》规定：（ ）通过自动售票机购票。","ABCD","中华人民共和国居民身份证","中华人民共和国港澳居民居住证","中华人民共和国台湾居民居住证","外国人永久居留身份证",""
"61","《国铁客规》规定 ：( )可通过自动售票机购票。","ABCD","中华人民共和国护照","港澳居民来往内地通行证","台湾居民来往大陆通行证","外国人永久居留身份证。",""
"62","《国铁客规》规定：旅客应向铁路运输企业提供真实有效的联系方式。","A","对","错","","",""
"63","《国铁客规》规定：发售实名制车票时，铁路运输企业可以记录、保存并在铁路服务过程中使用旅客信息、联系方式，按国家规定承担相应的（ ）。","D","购票义务","签证义务","退票义务","保密义务",""
"64","《国铁客规》规定：铁路运输企业发售车票时，根据旅客需要提供载有车票主要信息的（ ）。","D","车票","卡片","报销凭证","行程信息提示",""
